Title,Year
Forecasting the Impact of Anomalous Events on Business Process Performance,2024
Proceedings of the 7th Joint International Conference on Data Science &amp; Management of Data (11th ACM IKDD CODS and 29th COMAD).,2024
An Experimental Evaluation of Process Concept Drift Detection,2023
Process-Data Quality: The True Frontier of Process Mining.,2023
Proceedings of the 17th ACM International Conference on Distributed and Event-based Systems.,2023
Proceedings of the 2023 Australasian Computer Science Week.,2023
Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,2023
Proceedings of the 2023 8th International Conference on Machine Learning Technologies,2023
Proceedings of the 16th International Conference on Theory and Practice of Electronic Governance,2023
"Proceedings of the 18th International Conference on Availability, Reliability and Security",2023
Proceedings of the 45th International Conference on Software Engineering.,2023
Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023
"MADDC: Multi-Scale Anomaly Detection, Diagnosis and Correction for Discrete Event Logs",2022
Proceedings of the 38th Annual Computer Security Applications Conference.,2022
"Proceedings of the 17th International Conference on Availability, Reliability and Security.",2022
Companion Proceedings of the Web Conference 2022,2022
Proceedings of the Third ACM International Conference on AI in Finance,2022
Proceedings of the 12th Hellenic Conference on Artificial Intelligence,2022
Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,2022
Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,2022
A Survey on Concept Drift in Process Mining,2021
Concept drift detection and localization in process mining: an integrated and efficient approach enabled by trace clustering.,2021
On the use of online clustering for anomaly detection in trace streams.,2021
Robust Drift Characterization from Event Streams of Business Processes,2020
Process discovery using in-database minimum self distance abstractions.,2020
How can machine learning support the practice of modeling and simulation? a review and directions for future research.,2020
Comparing Concept Drift Detection with Process Mining Tools,2019
Passage challenges from data-intensive system to knowledge-intensive system related to process mining field,2019
Local Concurrency Detection in Business Process Event Logs,2019
An anomaly detection technique for business processes based on extended dynamic bayesian networks.,2019
Detecting anomalies in hybrid business process logs,2019
Outcome-Oriented Predictive Process Monitoring: Review and Benchmark,2019
A Framework for Human-in-the-loop Monitoring of Concept-drift Detection in Event Log Stream,2018
Discovering process maps from event streams,2018
Anomaly Detection in Business Process based on Data Stream Mining,2018
LTL on finite and process traces: complexity results and a practical reasoner.,2018
Detecting Concept Drift in Processes using Graph Metrics on Process Graphs.,2017
Process mining for knowledge-intensive business processes,2015
Identifying software process management challenges: survey of practitioners in a large global IT company,2015
Data-aware process mining: discovering decisions in processes using alignments.,2013
Process mining: making knowledge discovery process centric,2012
Process Mining: Overview and Opportunities.,2012
