"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Algorithm for Detecting Concept Drift Based on Context in Process Mining","D. Fei; Z. Liqun; N. GuangYun; X. Xiaolei","Shandong Univ., Jinan, China; Shandong Univ., Jinan, China; Shandong Univ., Jinan, China; Shandong Univ., Jinan, China","2013 Fourth International Conference on Digital Manufacturing & Automation","16 Sep 2013","2013","","","5","8","In the field of process mining, we require certain techniques that can detect process changes in dynamic systems automatically. Through detecting changes in the process we can adjust and optimize the overall process timely. These technologies are named concept drift detection of process mining. The traditional concept drift algorithm in process mining domain mostly have high time complexity, high space complexity and low recognition rate of concept drift and without using the context in process. We arises a new algorithm that based on context has high recognition rate of concept drift, low time complexity and low space complexity. The algorithm reduces the extraction and calculation of sample properties by using the stability of the processes before and after the changes. The using of the time parameter and staff parameter could enhance the sensitivity of process's change.","","978-0-7695-5016-9","10.1109/ICDMA.2013.2","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6597920","Concept Drift;Process Mining;Context","Manufacturing;Automation","management of change;optimisation;process planning","concept drift detection;process complexity;process drift detection;process change sensitivity;staff parameter;time parameter;process stability;process optimization;process change detection;process mining","","1","1","8","","16 Sep 2013","","","IEEE","IEEE Conferences"
"Evaluation Goals for Online Process Mining: a Concept Drift Perspective","P. Ceravolo; G. Marques Tavares; S. B. Junior; E. Damiani","Computer Science, Universit degli Studi di Milano, 9304 Milano, MI Italy (e-mail: paolo.ceravolo@unimi.it); Computer Science, Universit degli Studi di Milano, 9304 Milano, Lombardia Italy (e-mail: gabriel.tavares@unimi.it); Computer Science Department, State University of Londrina, 207305 Londrina, PR Brazil (e-mail: barbon@uel.br); Electrical and Computer Engineering, Khalifa University of Science and Technology, 105955 Abu Dhabi, Abu Dhabi United Arab Emirates (e-mail: ernesto.damiani@ku.ac.ae)","IEEE Transactions on Services Computing","","2020","PP","99","1","1","Online process mining refers to a class of techniques for analyzing in real-time event streams generated by the execution of business processes. These techniques are crucial in the reactive monitoring of business processes, timely resource allocation and detection/prevention of dysfunctional behavior. Many interesting advances have been made by the research community in recent years, but there is no consensus on the exact set of properties these techniques have to achieve. This paper fills the gap by identifying a set of evaluation goals for online process mining and examining their fulfillment in the state of the art. We discuss parameters and techniques regulating the balance between conflicting goals and outline research needed for their improvement. Concept drift detection is crucial in this sense but, as demonstrated by our experiments, it is only partially supported by current solutions.","1939-1374","","10.1109/TSC.2020.3004532","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9124702","Online Process Mining;Event Stream;Requirements and Goals;Concept Drift","Business;Real-time systems;Memory management;Service computing;Data mining;Adaptation models;Analytical models","","","","1","","","IEEE","24 Jun 2020","","","IEEE","IEEE Early Access Articles"
"Process Mining over Unordered Event Streams","A. Awad; M. Weidlich; S. Sakr","Cairo University,Giza,Egypt; Humboldt-Universität zu Berlin,Berlin,Germany; University of Tartu,Tartu,Estonia","2020 2nd International Conference on Process Mining (ICPM)","22 Oct 2020","2020","","","81","88","Process mining is no longer limited to the one-off analysis of static event logs extracted from a single enterprise system. Rather, process mining may strive for immediate insights based on streams of events that are continuously generated by diverse information systems. This requires online algorithms that, instead of keeping the whole history of event data, work incrementally and update analysis results upon the arrival of new events. While such online algorithms have been proposed for several process mining tasks, from discovery through conformance checking to time prediction, they all assume that an event stream is ordered, meaning that the order of event generation coincides with their arrival at the analysis engine. Yet, once events are emitted by independent, distributed systems, this assumption may not hold true, which compromises analysis accuracy. In this paper, we provide the first contribution towards handling unordered event streams in process mining. Specifically, we formalize the notion of out-of-order arrival of events, where an online analysis algorithm needs to process events in an order different from their generation. Using directly-follows graphs as a basic model for many process mining tasks, we provide two approaches to handle such unorderedness, either through buffering or speculative processing. Our experiments with synthetic and real-life event data show that these techniques help mitigate the accuracy loss induced by unordered streams.","","978-1-7281-9832-3","10.1109/ICPM49681.2020.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9230157","Process mining, event streams, unordered streams","Out of order;Data mining;Prediction algorithms;Task analysis;Predictive models;Engines;Computational modeling","business data processing;data mining;graph theory;information systems;program diagnostics","online algorithms;process mining;event stream;event generation;unordered event streams;online analysis algorithm;real-life event data;single enterprise system;diverse information systems;static event log extraction","","1","","30","","22 Oct 2020","","","IEEE","IEEE Conferences"
"Phenomenon of concept drift from process mining insight","M. V. Manoj Kumar; L. Thomas; B. Annappa","Department of CS&E, NITK, Surathkal, India; Department of CS&E, NITK, Surathkal, India; Department of CS&E, NITK, Surathkal, India","2014 IEEE International Advance Computing Conference (IACC)","27 Mar 2014","2014","","","517","522","Process mining is originated form the fact that the modern information systems systematically record and maintain history of the process which they monitor and support. Systematic study of the recorded information in process centric manner will help to understand the process in a better way. Process mining acts as enabling technology by facilitating process centric analysis of data, which other available data science like data mining etc. fails to provide. Process mining algorithms are able to provide excellent insights on the process which they analyze, but they fail to handle the change in the process. Concept drift is a phenomenon of change in the process while it is being analyzed and it is a non-stationary learning problem. As the process changes while it is being analyzed, end result of the analysis becomes obsolete. Process mining algorithms are static biased, they assume that process at the beginning of analysis period will remain as same at the end of analysis period. There is at most requirement to effectively deal with the change in process to conduct optimal analysis. The main focus of this paper is to identify different factors to be considered while designing the solution for the problem of concept drift and explain each of the identified factors briefly. As the phenomenon of concept drift is extensively under consideration for research in other scientific research disciplines, this article considers restricting the content strictly concerning to the context of process mining.","","978-1-4799-2572-8","10.1109/IAdCC.2014.6779378","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6779378","Change in process;Second order dynamics;process perspective;concept drift","Handheld computers;Conferences;Decision support systems;Hafnium compounds","data analysis;data mining;information systems;learning (artificial intelligence)","information systems;process centric data analysis;nonstationary learning problem;concept drift problem;process mining insight;optimal analysis;scientific research disciplines","","","","22","","27 Mar 2014","","","IEEE","IEEE Conferences"
"Heuristics-Based Process Mining on Extracted Philippine Public Procurement Event Logs","M. J. Sangil","Layertech Software Labs, Inc.,Daraga,Philippines","2020 7th International Conference on Behavioural and Social Computing (BESC)","16 Feb 2021","2020","","","1","4","Public procurement is a business process that is prone to corruption and administrative inefficiency, affecting quality of service delivery to the public. Using Bicol University's three-year procurement data as a sample, this paper explores the use of process mining on publicly-available procurement data to discover underlying structure of procurement processes of government entities in the Philippines, check for conformance with the prescribed process in the procurement law, and identify potentially problematic nodes. In this paper, event logs were generated from official public procurement data and mined with heuristics-based process mining algorithm, using free, open-sourced tools. The discovered processes revealed a concept drift in publication of contract award, a point for inspection and improvement for the agencies involved.","","978-1-7281-8605-4","10.1109/BESC51023.2020.9348306","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9348306","Procurement;Process mining;Conformance checking;Business process","Procurement;Social computing;Heuristic algorithms;Quality of service;Tools;Inspection;Data mining","business data processing;data mining;law administration;procurement;public administration;system monitoring","business process;procurement processes;Philippines;procurement law;official public procurement data;Bicol University three-year procurement data;heuristics-based process mining;process discovery;philippine public procurement event log extraction;official public procurement mining;open-sourced tool;free sourced tool","","","","20","","16 Feb 2021","","","IEEE","IEEE Conferences"
"Overlapping Analytic Stages in Online Process Mining","G. M. Tavares; P. Ceravolo; V. G. Turrisi Da Costa; E. Damiani; S. Barbon Junior",Londrina State University; Università degli Studi di Milano; Londrina State University; Khalifa University; Londrina State University,"2019 IEEE International Conference on Services Computing (SCC)","29 Aug 2019","2019","","","167","175","Process mining uses business event logs to understand the flow of activities, to identify anomalous cases and to enhance processes. Today, real-time process mining tools mainly deal with a single task at a time (process discovery, conformance checking, process enhancement or concept change detection). In this paper, we introduce an underlined layer overlapping with multiple online process mining tasks to smooth their integration. Following a case clustering approach, based on trace and time analysis, our proposal supports simultaneously?: process discovery, conformance checking, and concept drift detection. We evaluated our approach and compared it with other techniques using both real-life and synthetic data, obtaining promising results.","2474-2473","978-1-7281-2720-0","10.1109/SCC.2019.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8813959","Process Mining;Concept Drift;Anomaly detection;Clustering;Stream Mining","","business data processing;data mining;pattern clustering","process discovery;conformance checking;process enhancement;multiple online process mining tasks;case clustering approach;concept drift detection;overlapping analytic stages;business event logs;process mining tools","","2","","25","","29 Aug 2019","","","IEEE","IEEE Conferences"
"Time-aware Concept Drift Detection Using the Earth Mover’s Distance","T. Brockhoff; M. S. Uysal; W. M. P. van der Aalst","RWTH Aachen University,Process and Data Science Group (PADS) Computer Sience 9,Aachen,Germany; RWTH Aachen University,Process and Data Science Group (PADS) Computer Sience 9,Aachen,Germany; RWTH Aachen University,Process and Data Science Group (PADS) Computer Sience 9,Aachen,Germany","2020 2nd International Conference on Process Mining (ICPM)","22 Oct 2020","2020","","","33","40","Modern business processes are embedded in a complex environment and, thus, subjected to continuous changes. While current approaches focus on the control flow only, additional perspectives, such as time, are neglected. In this paper, we investigate a more general concept drift detection framework that is based on the Earth Mover's Distance. Our approach is flexible in terms of incorporating additional perspectives thanks to the capability of defining custom feature representations, as well as expressive feature similarity measures. We demonstrate the former by incorporating the time perspective using both a time-binning-based trace descriptor and a suitable similarity measure that considers time and control flow. We evaluate the resulting sliding window detector on different types of control-flow and time drifts, and holistic drifts involving multiple perspectives.","","978-1-7281-9832-3","10.1109/ICPM49681.2020.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9230247","Process Mining;Concept Drift Detection;Earth Mover’s Distance","Earth;Detectors;Time measurement;Probability distribution;Frequency measurement;Feature extraction;Data mining","business data processing;data analysis;data mining;feature extraction","Earth Mover Distance;business processes;complex environment;feature representations;feature similarity measures;time perspective;time-binning-based trace descriptor;control-flow;time drifts;time-aware concept drift detection","","","","31","","22 Oct 2020","","","IEEE","IEEE Conferences"
"Process Discovery from Event Stream Data in the Cloud - A Scalable, Distributed Implementation of the Flexible Heuristics Miner on the Amazon Kinesis Cloud Infrastructure","J. Evermann; J. Rehse; P. Fettke","Memorial Univ. of Newfoundland, St. John's, NL, Canada; Deutsches Forschungszentrum fur Kunstliche Intelligenz, Saarbrucken, Germany; Deutsches Forschungszentrum fur Kunstliche Intelligenz, Saarbrucken, Germany","2016 IEEE International Conference on Cloud Computing Technology and Science (CloudCom)","26 Jan 2017","2016","","","645","652","Cloud computing offers readily available, scalable infrastructure to tackle problems involving high data volume and velocity. Discovering processes from event streams, especially when the business processes execute in a cloud environment, is such a problem. Event stream data is generated rapidly with varying volume and must be processed on-the-fly, making stream processing an important use case for cloud computing. This paper describes a distributed, streaming implementation of the flexible heuristics miner on Amazon Kinesis, a cloud-based event stream infrastructure, showing how mining methods can scale effortlessly to tens of millions of events per minute.","2330-2186","978-1-5090-1445-3","10.1109/CloudCom.2016.0111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830752","Process mining;event stream processing;big data;cloud computing;flexible heuristics miner;distributed processing","Cloud computing;Data mining;Big data;Scalability;Frequency measurement;Business;Distributed databases","business data processing;cloud computing;data mining","cloud-based event stream infrastructure;cloud environment;cloud computing;business processes;Amazon Kinesis cloud infrastructure;flexible heuristics miner;scalable distributed implementation;event stream data processing","","1","","16","","26 Jan 2017","","","IEEE","IEEE Conferences"
"A Framework for Online Process Concept Drift Detection from Event Streams","N. Liu; J. Huang; L. Cui","State Key Lab. of Networking & Switching Technol. Beijing Univ. of Posts & Telecommun., Beijing, China; State Key Lab. of Networking & Switching Technol. Beijing Univ. of Posts & Telecommun., Beijing, China; Sch. of Software Eng., Shandong Univ., Jinan, China","2018 IEEE International Conference on Services Computing (SCC)","6 Sep 2018","2018","","","105","112","Business processes are prone to variations due to the phenomenon known as concept drift, which refers to the situation where the business process is changing while being executed. Concept drift detection of business processes is one of the most critical problems in process mining. Most of the state-of-the-art approaches use statistical hypothesis testing for change point detection by sliding-window-based analysis and feature extraction, which suffer from bad performance and missed detection of certain types of changes. To attack such challenges, this paper proposes a framework as well as detailed models and techniques for online process concept drift detection without any feature extraction. A streaming scheme is presented to detect, locate, and classify the concept drifts simultaneously without requiring any storage of the event traces that have been analyzed. Four types of process concept drifts which are sudden drift, gradual drift, recurring drift, and incremental drift can be precisely discovered, and noise as well as flexibility in business processes are fully considered. The efficacy of the approach is also validated by simulation experiments on large-scale business process event streams.","2474-2473","978-1-5386-7250-1","10.1109/SCC.2018.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8456407","online process concept drift detection;process mining;process change point detection and localization","Business;Feature extraction;Testing;Process control;Monitoring;Data mining;Heuristic algorithms","business data processing;data mining;feature extraction;pattern classification;statistical testing","gradual drift;incremental drift;online process concept drift detection;process mining;change point detection;feature extraction;process concept drifts;sudden drift;business process event streams;statistical hypothesis testing;recurring drift;sliding window","","","","21","","6 Sep 2018","","","IEEE","IEEE Conferences"
"Handling Concept Drift for Predictions in Business Process Mining","L. Baier; J. Reimold; N. Kühl","Karlsruhe Institute of Technology (KIT),Karlsruhe,Germany; Karlsruhe Institute of Technology (KIT),Karlsruhe,Germany; Karlsruhe Institute of Technology (KIT),Karlsruhe,Germany","2020 IEEE 22nd Conference on Business Informatics (CBI)","15 Jul 2020","2020","1","","76","83","Predictive services nowadays play an important role across all business sectors. However, deployed machine learning models are challenged by changing data streams over time which is described as concept drift. Prediction quality of models can be largely influenced by this phenomenon. Therefore, concept drift is usually handled by retraining of the model. However, current research lacks a recommendation which data should be selected for the retraining of the machine learning model. Therefore, we systematically analyze different data selection strategies in this work. Subsequently, we instantiate our findings on a use case in process mining which is strongly affected by concept drift. We can show that we can improve accuracy from 0.5400 to 0.7010 with concept drift handling. Furthermore, we depict the effects of the different data selection strategies.","2378-1971","978-1-7281-9926-9","10.1109/CBI49978.2020.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9140292","","Data models;Predictive models;Machine learning;Adaptation models;Business;Data mining;Computational modeling","business data processing;data mining;learning (artificial intelligence)","data selection;concept drift handling;business process mining;predictive services;business sectors;machine learning;data streams","","","","39","","15 Jul 2020","","","IEEE","IEEE Conferences"
