Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Business Process Management","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85469-0","Dr. Artem PolyvyanyyDr. Moe Thandar WynnAmy Van LooyProf. Dr. Manfred Reichert","2021","http://link.springer.com/book/10.1007/978-3-030-85469-0","Book"
"Encyclopedia of Big Data Technologies","","","","","10.1007/978-3-319-77525-8","Sherif SakrAlbert Y. Zomaya","2019","http://link.springer.com/referencework/10.1007/978-3-319-77525-8","ReferenceWork"
"Process Mining Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-98581-3","Jorge Munoz-GamaXixi Lu","2022","http://link.springer.com/book/10.1007/978-3-030-98581-3","Book"
"Business Process Management","Lecture Notes in Computer Science","","","","10.1007/978-3-030-58666-9","Dirk FahlandChiara GhidiniProf. Dr. Jörg BeckerProf. Marlon Dumas","2020","http://link.springer.com/book/10.1007/978-3-030-58666-9","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-319-59536-8","Eric DuboisKlaus Pohl","2017","http://link.springer.com/book/10.1007/978-3-319-59536-8","Book"
"Business Process Management Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-37453-2","Dr. Chiara Di FrancescomarinoRemco DijkmanUwe Zdun","2019","http://link.springer.com/book/10.1007/978-3-030-37453-2","Book"
"Process Mining Handbook","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-08848-3","Wil M. P. van der AalstJosep Carmona","2022","http://link.springer.com/book/10.1007/978-3-031-08848-3","Book"
"Process Mining Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-27815-0","Marco MontaliArik SenderovichMatthias Weidlich","2023","http://link.springer.com/book/10.1007/978-3-031-27815-0","Book"
"Business Process Management Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-50974-2","Jochen De WeerdtLuise Pufahl","2024","http://link.springer.com/book/10.1007/978-3-031-50974-2","Book"
"Business Process Management","Lecture Notes in Computer Science","","","","10.1007/978-3-031-41620-0","Chiara Di FrancescomarinoAndrea BurattinChristian JanieschShazia Sadiq","2023","http://link.springer.com/book/10.1007/978-3-031-41620-0","Book"
"Enterprise, Business-Process and Information Systems Modeling","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-79186-5","Adriano AugustoAsif GillSelmin NurcanDr. Iris Reinhartz-BergerProf. Rainer SchmidtJelena Zdravkovic","2021","http://link.springer.com/book/10.1007/978-3-030-79186-5","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-07472-1","Prof. Dr. Xavier FranchGeert PoelsDr. Frederik GaillyMonique Snoeck","2022","http://link.springer.com/book/10.1007/978-3-031-07472-1","Book"
"Research Challenges in Information Science","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-05760-1","Renata GuizzardiDr. Jolita RalytéProf. Dr. Xavier Franch","2022","http://link.springer.com/book/10.1007/978-3-031-05760-1","Book"
"Business Process Management Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-319-74030-0","Prof. Ernest TenienteProf. Dr. Matthias Weidlich","2018","http://link.springer.com/book/10.1007/978-3-319-74030-0","Book"
"Business Process Management Forum","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-41623-1","Chiara Di FrancescomarinoAndrea BurattinChristian JanieschShazia Sadiq","2023","http://link.springer.com/book/10.1007/978-3-031-41623-1","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-34560-9","Marta IndulskaIris Reinhartz-BergerCarlos CetinaOscar Pastor","2023","http://link.springer.com/book/10.1007/978-3-031-34560-9","Book"
"Process Mining","","","","","10.1007/978-3-662-49851-4","Wil van der Aalst","2016","http://link.springer.com/book/10.1007/978-3-662-49851-4","Book"
"Revisiting the Transition Matrix-Based Concept Drift Approach: Improving the Detection Task Reliability Through Additional Experimentation","SN Computer Science","","5","1","10.1007/s42979-023-02536-z","Antonio Carlos Meira NetoRafael Gaspar de SousaMarcelo FantinatoSarajane Marques Peres","2024","http://link.springer.com/article/10.1007/s42979-023-02536-z","Article"
"Business Process Management","Lecture Notes in Computer Science","","","","10.1007/978-3-319-98648-7","Prof. Dr. Mathias WeskeDr. Marco MontaliDr. Ingo WeberProf. Jan vom Brocke","2018","http://link.springer.com/book/10.1007/978-3-319-98648-7","Book"
"Business Process Management Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-94343-1","Andrea MarrellaProf. Barbara Weber","2022","http://link.springer.com/book/10.1007/978-3-030-94343-1","Book"
"Artificial Intelligence and Soft Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-87897-9","Prof. Leszek RutkowskiDr. Rafał SchererMarcin KorytkowskiWitold PedryczProf. Ryszard TadeusiewiczDr. Jacek M. Zurada","2021","http://link.springer.com/book/10.1007/978-3-030-87897-9","Book"
"Robust Process Mining with Guarantees","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-96655-3","Dr. Sander J. J. Leemans","2022","http://link.springer.com/book/10.1007/978-3-030-96655-3","Book"
"Learning and Intelligent Optimization","Lecture Notes in Computer Science","","","","10.1007/978-3-031-44505-7","Meinolf SellmannKevin Tierney","2023","http://link.springer.com/book/10.1007/978-3-031-44505-7","Book"
"Database Systems for Advanced Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-031-30678-5","Xin WangMaria Luisa SapinoWook-Shin HanAmr El AbbadiGill DobbieZhiyong FengYingxiao ShaoHongzhi Yin","2023","http://link.springer.com/book/10.1007/978-3-031-30678-5","Book"
"A Framework for Explainable Concept Drift Detection in Process Mining","Business Process Management","","","","10.1007/978-3-030-85469-0_25","Jan Niklas AdamsSebastiaan J. van ZelstLara QuackKathrin HausmannWil M. P. van der AalstThomas Rose","2021","http://link.springer.com/chapter/10.1007/978-3-030-85469-0_25","Chapter"
